text,label
Canadians are also a global people.,42
Canada needs health care reform that delivers tangible results.,38
"A Liberal government will aggressively promote a much more effective international management regime, particularly for fish stocks that straddle the 200-mile limit.",46
"The Green Party is about shifting - shifting mind sets, shifting taxes, shifting emphasis in trade from a failed free trade model to a proven fair trade model and it is about shifting emphasis from global to local development because we recognize the limitations of fossil fuel for global trade and transportation and the need for local and community participation to achieve sustainable communities.",34
The Green Party seeks security procedures that provide rigorous standards of procedural fairness and allow meaningful defences for all detainees.,10
"Despite the hope for the future envisioned in the recommendations of the report of the Royal Commission on Aboriginal Peoples, Liberal policy about Original Peoples has been bogged down in endless processes that go nowhere.",18
Cracking down on cheque-cashing companies that are moving into the poor neighbourhoods abandoned by the banks.,21
A Liberal government will: Commit up to $1 billion of new resources over the next five years to help implement the strategy jointly with provinces.,15
Amend the Canadian Human Rights Act to include gender identity and gender expression and identity among the prohibited grounds for discrimination.,10
"In addition to the significant tax measures already described, every rural Canadian tax filer will receive up front, each year, an annual Green Rural Credit of $150.",54
2) Improve Our Chronic Care System,38
– Raising the federal contribution to health human resource planning with provinces and territories to increase the number of residency places in family medicine and public health.,14
"education and meaningful work,",40
The legislation will provide for the Commissioner to be appointed by Parliament with the consent of Opposition parties.,11
"Raise the threshold for the small business tax rate from $300,000 to $400,000,",21
"While other laws such as the Hazardous Products Act (HPA) and the Food and Drugs Act (FDA) can sometimes be used to regulate such products, these laws are inadequate in addressing the human health and environmental risks.",35
Emphasize climate change solutions and adaptation strategies.,35
"Combat identity theft and control online computer fraud against innocent consumers and seniors, including spamming and “phishing”.",46
Keep governments accountable for their promises and obligations by appointing a Parliamentary Commissioner to use international and mutually-acceptable standards as the basis for regular public report cards on government conduct.,11
* Address inter-provincial/territorial and international water-related concerns by demanding that government:,35
Created a new agency to accelerate the process of continuous improvement in the nonpartisan public service.,16
"These tax cuts will allow Canadians to keep more of the money they earn,",32
People with disabilities are more likely to be unemployed or working on the margins.,50
"Relations with the United States – The government is determined to forge a more sophisticated relationship with Canada’s closest friend, ally and economic partner.",0
"and to preserve Canada’s sovereignty, notably in the high Arctic.",8
A Liberal government will work to ensure that we do.,25
Create a new offence for possession of precursors for the purpose of meth production.,46
Our plan's budgeting is based on the revenue projections in Budget 2008.,32
"the $1 billion Advanced Manufacturing and Prosperity (AMP) Fund that will stimulate green manufacturing,",35
Those who post bail need to be held accountable if the accused does not show up in court.,46
"We will provide new resources to help to assess, train and place international medical graduates who wish to work in Canada in family medicine.",38
"The level of the payment will be regionally set at a level above poverty, but at a bare subsistence level to encourage additional income generation.",26
It won’t be easy.,32
"Many Canadians see a disconnect between the severity of the crime, the length of prison sentences and the availability of parole.",46
Redesigning federal government programs to improve small business access to venture capital.,21
The federal government’s disengagement in the 1990s was a monumental mistake.,15
Take-home pay of Canadians has been nearly stagnant for a decade.,28
"Since the next president of the United States, be he a Republican or Democrat, has already committed to pricing carbon, this will likely not impact our largest trading partner.",0
. . . It’s a breach of faith.,1
Adopt Germany’s system of mandatory recycling and “design for recycling”.,6
"Most Canadians’ experience their government at the level where it collects their recycling, runs their buses and provides their water.",14
To make Canada truly accessible and inclusive requires a national effort to provide supports and services.,37
The ice bounces back the sun’s rays (the albedo effect).,35
"On April 19, the Prime Minister and 26 cabinet ministers met with senior members of the Aboriginal community to set an agenda for action, one that will bring improved results and strong accountability.",54
while securing an enhanced quality of life in rural Canada.,52
"In the 21st century, we can’t disconnect problems.",38
"Disputes over softwood lumber, agriculture, and fishing rights just never seem to get resolved.",26
"Canada is a middle power in the world community, but we have not been short of influence and ambition, nor weak of resolve.",42
Debt reduction is treated as an afterthought – what to do with money that the Liberals can’t spend fast enough.,32
"People from the Original Nations of Canada can and do make prominent contributions to a better Canada and a better world: in the arts, media, science, government, business, health and education.",42
"Scientists are increasingly talking about climate as being less a dial, than a switch.",35
"We will prohibit conditional sentences for child sex offences, to ensure that all of those charged with these offences will serve prison time and be removed from the community.",46
Prevent legal intimidation of ordinary people by limiting the rights of corporations to sue groups and individuals only for actual loss.,24
"As former Foreign Affairs Minister John Manley has said, “You can't just sit at the G8 table and then, when the bill comes, go to the washroom.”",18
The Registered Retirement Savings Plan is a very popular savings and investment option for many Canadians.,32
"Thanks to this loophole, some MPs have accumulated large, secret trust funds.",17
Countries where Greens have served in government are the countries creating new high-paying jobs,28
"The US rate flattens out for incomes above US$336,000 at 35 percent).",37
supported by ecological health.,35
while maintaining Canadians’ traditional commitments to justice and the rule of law.,42
Ensuring gender equality will be a common theme cutting across all five sectors.,37
A fundamental obligation of government is the protection of public safety.,46
A Liberal government will dedicate $100 million – fully half the funding required by the World Health Organization to provide the technical support for the WHO’s “3 by 5” plan.,6
"We opposed the arbitrary, secretive and restrictive measures of the legislation and continue to do so.",11
"Industry Canada’s Network for Women Entrepreneurs in Ontario provides web portal access to a wealth of business information for women, in addition to personalized mentoring services.",21
"Recognizing the fundamental differences that constitute Quebec being a nation within Canada and working with Quebec to obtain common objectives with equitable outcomes, with the option of Quebec opting out of new federal programs with compensation to pursue common objectives and standards in a provincial program.",14
* Prohibit the export of fissionable nuclear material.,24
"Fund energy retrofits for museums, universities, schools and Hospitals.",28
"As a first step, a re-elected Conservative Government will launch a Joint Force Land and Marine Border Patrol Pilot Project with the Customs and Border Services Agency and the RCMP to patrol unguarded U.S. road and marine crossings to Canada in Quebec.",46
A Conservative government will set fixed election dates every four years.,11
"A Liberal government will take the steps necessary to put Canadians at the forefront of technological development, leading the way to solutions to global challenges.",39
– Canada’s North is at a critical juncture.,28
We will make importers responsible for costs of inspecting and ensuring the safety of their products.,24
"and relocation of their communities due to the melting of permafrost,",48
And we will ensure that it benefits more families by phasing it out more slowly.,38
The Green Party of Canada will maintain breadth and flexibility in its economic calculations.,28
"and the rights of women,",37
All of these are municipal responsibilities,12
Canadians overwhelmingly called on the federal government to immediately eliminate this legal loophole.,46
"That relationship must be built at many levels: federal government to federal government, as well as federal government to civil society, and other levels of government.",0
Lower debt charges have permitted significant and steady tax cuts.,32
public health emergencies (such as the SARS outbreak) or other public emergencies such as last summer’s electricity blackout in Ontario.,46
"It will: Work cooperatively with all stakeholders towards meeting 35 percent of Canada’s energy needs with renewable energy by 2020, including hard targets for renewable fuels, biomass, wind power and other renewables.",34
On smog alert days our emergency wards are packed.,38
"A Conservative government will pick up the ball this government has dropped and establish a new relationship with the provinces, while clarifying the roles of both levels of government.",14
"Liberal programs to support infrastructure; to assist small businesses; to fund environmental clean-up; and the on-going activities of the Department of National Defence and of departments such as Agriculture and Agri-Food Canada, Fisheries and Oceans Canada, and Natural Resources Canada, among others, all contribute to regional development.",14
"A Conservative government, in consultation with the provinces and aboriginals, will support the principle of allowing parents to choose which schooling they want for their children, with funding following the students.",40
"In 1996 the Green Party of Canada became the first federal party to officially support the inclusion of same-sex couples in civil marriage, and we are pleased that this issue is now settled.",37
"In Sweden, it has been projected that carbon dioxide emissions were reduced in 2000 by 20-25 per cent more than would have been the case through other policies.",35
"It’s time for a bold plan based on Kyoto’s targets and time frames, using Kyoto as a trigger for transformation and recognizing that, as with calculators and computers, the more new technology is used and sold, the cheaper it becomes.",35
"In addition to promoting free trade, we should examine deepening the NAFTA relationship to harmonize tariffs and eliminate rules of origin, enhance environmentaland labour standards, and cooperate on common security issues.",25
"As the price of climate pollution increases, these bonds will close the price gap so that the development of renewable energy is price competitive with the development of fossil fuel resources.",28
We will build towards the 10-year goal of the One Percent Solution – with one percent of federal spending allocated for truly affordable housing.,38
"In addition, the government will work with the provinces and professional associations to determine an appropriately expanded role for nurse practitioners and other health care professionals to reduce the load on doctors in frontline care.",38
"we must invest more in education and training,",39
"In Canada today, there are over two million children under the age of six.",55
"There are six major east-west routes for shipping through Arctic islands in Canadian territory,",42
Working with provinces and territories to help attract and retain immigrants to maintain labour force and population objectives.,50
Climate change is the number one issue on Canadians’ minds and the biggest crisis facing our planet.,35
"Amending the current immigration laws, which currently bar most immigrants that would have been admitted during the Trudeau era.",54
Canada’s national rail systems are in decline.,39
"With cleaner air, cleaner water, better use of nature’s bounty and concerted action on climate change, Canada will be more competitive in a future global economy that must make the transition to sustainability.",34
"We will accelerate and deepen the currently planned corporate tax cuts, reducing the general corporate tax rate by an additional one per cent within four years.",20
The time has come to take bolder steps to prevent and cope with this major source of suffering and disability.,38
Canada is regarded internationally as a progressive country with a binding set of values.,42
Support a national research agenda through the Canadian Institutes for Health Research for the development of future wait time benchmarks and for research on the management of wait times and better patient-centred access.,39
"A Conservative government will allow Parliament to review and ratify important appointments, such as Officers of Parliament, Supreme Court Justices, and heads of major Crown corporations and agencies.",11
"We will also expand programmes in reproductive rights and education to avoid unwanted pregnancies,",45
"ensuring (through contractual agreements) that the funding is not used in ways that encourage urban sprawl, but instead to reduce sprawl and greenhouse gas emissions, conserve electricity and water, increase densification, expand convenient, safe, reliable and affordable public transit, and build cycling and walking paths.",34
This leads to greater worker and family stress.,38
"Nevertheless, governments will need to spend more in the years ahead to achieve Canadians’ health care goals.",38
The abolition of the program should be phased in to protect students currently receiving Millennium Scholarships.,40
"Working with like-minded countries throughout the world to negotiate a fair trade agreement that respects existing environmental, social and labour treaties.",34
Each policy has been examined through the following lenses:,18
"Develop renewable energy sources so that by 2040, wind energy production reaches 50 GW, solar PV 25 GW, ocean energy 12 GW, geothermal 25 GW.",34
"We treasure our country’s great wilderness, its forests, rivers and lakes.",35
a) Replace federal guidelines for drinking water quality with binding national standards that secure clean drinking water and human health;,38
All ten provinces have now signed agreements with the federal government based on a nationally shared vision.,42
and the feasibility of establishing a national PharmaCare Program that ensures that effective pharmaceuticals are available to all Canadians who need them.,37
We will ensure that offenders who are released into our communities are held accountable.,46
"Jack Layton and Canada’s NDP will respect equality by: Working with the provincial and territorial governments to set up a single income support mechanism for persons with disabilities, including a system of national disability supports.",37
"The Conservative Government is investing $1.5 billion over the next seven years in the production of biofuels,",28
Some banks are agitating to merge saying even larger financial organization is needed to compete in the global marketplace.,21
Working with progressive legislators and organizations in the United States and Mexico to achieve these reforms.,0
Protect the right of Afghanis to maintain the control over and the right to ownership of their resources and infrastructure and oppose privatization of natural resources in Afghanistan as part of reconstruction programs.,24
“Revenue neutral” means that the federal government does not increase its revenues through a new tax.,32
"Investments in child care and early learning are also smart because they help to level the playing field for those disadvantaged by birth or background, and because they set our youngest on the path to lifelong achievement.",37
Estimated annual cost in year four: $350 million.,38
"Allow the Auditor General to “follow the money” to end recipients by providing her with the statutory authority to conduct audits of the records, documents, and accounts of any individual, institution, or company that receives grants, contributions, or transfers under an agreement with the Government of Canada.",17
A Liberal government will build on its substantial set of existing financial and program commitments to ensure that the New Deal becomes a central component of our strategy to secure Canada’s success.,42
– Establishing a forum with film distributors to agree on targets and a strategy to screen and distribute domestic films in Canada.,36
The Canadian Arctic is a stunningly beautiful environment.,42
Restore funding for critical food safety testing and new produce approvals processes,21
Paul Martin and the Liberals have: Been consistently vague on Kyoto and made the environment ministry the target of some of the largest cuts to pay for tax reductions for oil and coal companies.,20
"The incentive to illegal, under-the table, economies is vastly reduced, although not entirely eliminated.",17
"Life expectancy has increased by more than a third, to 63 years.",6
The bottom line is: a tonne of carbon reduced in India or China or Malaysia is just as valuable in protecting Canadians from the dangerous impacts of climate change as a tonne reduced in Canada.,6
"We will phase out the “ever-greening” of patent drugs, no longer allowing large pharmaceutical corporations to continually renew their patents with little or no control.",21
Provide funding for developing and supporting renewable energy programs.,34
"Reduce worker injuries,",50
Freezing immigration fees to prevent gouging those who seek to make Canada their home and allowing immigration fees to be used as credit towards education and skills training in Canada.,54
"Canada depends on cities and communities that can attract the best talent and compete for investments as vibrant centers of commerce, learning and culture.",14
Canada also lagged behind in the effectiveness of regulations covering toxic and chemical waste.,35
"As part of those discussions, a Conservative government will propose that the federal government assume direct responsibility for the catastrophic drug plan in the Accord.",15
"For example, Sheila Copps, a former Deputy Prime Minister, was defeated by one of Paul Martin’s cabinet supporters in a nomination race that left many questions about its fairness.",17
Recover unpaid loans and outstanding taxes from corporations that are doing business with the federal government by deducting such debts from the contract payments.,16
It is part of how we Canadians define ourselves.,42
Ensure that whistleblowers have access to the courts and that they are provided with adequate legal counsel.,11
"All Aboriginal communities to have, by 2008, clean water and adequate housing.",38
"Setting out to develop a strategy with provinces and territories to ensure universal, high quality early childhood education and care in every region of Canada within a decade.",40
The gap between the prime rate and most credit cards is now 14.5 points.,19
"e) Supports local food economies by enabling local areas, without industrial scale agriculture, to develop area-specific food safety regulations meeting national standards without placing undue financial burdens on local farmers and food processors;",52
"the wood and paper products industries directly employ over 350,000 people and generate over $58 billion in sales annually – more than half our annual trade surplus.",26
"Launched a permanent, ongoing Expenditure Review procedure to eliminate waste and ensure that government spending delivers maximum value to taxpayers.",16
The need for greater economic security for individual caregivers;,32
"A re-elected Conservative Government led by Stephen Harper will continue to support Canada's military and development mission in Afghanistan and will respect the terms of the Parliamentary resolution passed in March, 2008.",3
"We must keep our streets safe, our borders secure, and our country strong.",42
Ensure that the Arctic is protected and defended through the Coast Guard and civilian enforcement of Canadian Law along with an adequate—but not excessive—military capability.,46
Any remaining portion of the reserve that is un-needed at fiscal year-end will be used to reduce the government’s debt.,32
The Green Party has adopted the goal of “zero waste.”,34
"Cancelling offensive, expensive and unnecessary weapons systems for the Canadian Armed Forces, reducing the DND bureaucracy, and reallocating savings to invest in reserve and regular personnel and better training and equipment so that they can carry out Canada’s vital peacekeeping and peacemaking roles.",5
"A Conservative government will help individuals, families, and businesses get ahead by lowering taxes, rewarding effort, and making Canada a great country to do business in.",32
"•A belief that good and responsible government is attentive to the people it represents and has representatives who at all times conduct themselves in an ethical manner and display integrity, honesty and concern for the best interest of all;",17
Our country and our confidence will be strong.,42
"In 2006 there were approximately 2,500 members of Canadian Forces in the Kandahar Province of Afghanistan, but just 56 Canadian troops on UN peacekeeping missions worldwide.",5
"It is an economic, social and global security issue.",35
strengthen the law regarding investigation of drug-impaired driving;,46
"Small businesses are the thread of Canada’s economic fabric, employing almost half of the private sector workforce and accounting for the majority of new job creation.",21
"To that end, the annual Contingency Reserve, if not needed, will be applied to reduce debt.",32
"The Blueprint, endorsed at the First Ministers Meeting in November 2005 and supported by an additional $1. 3 billion investment, is a comprehensive 10-year plan for the delivery of reliable, quality health care – on reserve and off.",38
"Our ability to split the atom, or exhume the fossil fuels from their burial places to burn them at profligate rates, threatens to tip the planet from its life sustaining cycles into catastrophic die-offs of human and non-human life forms.",34
Promote guidelines and best practices for home and cottage owners and for farmers.,35
"– Recently, the Paul Martin government launched the Integrated Strategy on Healthy Living and Chronic Disease.",38
Integrate goals for reduced fertility into the overall efforts to eliminate poverty.,37
"This strategy will encompass all drugs, not just marijuana, in implementing a nationwide awareness campaign to dissuade young people from using drugs.",46
Develop a digital on-line culture service to give ordinary Canadians expanded access to Canadian content.,36
Canadians must demand better for their communities.,42
A re-elected Conservative Government led by Stephen Harper will prevent any company from exporting raw bitumen (unprocessed oil from the oil sands) outside of Canada for upgrading in order to take advantage of lower pollution or greenhouse gas emissions standards elsewhere.,24
This generation has the potential to capitalize on the single biggest business opportunity in human history – the shift to a low-carbon economy.,34
"Earlier generations grew up with the aphorism “waste not, want not.”",44
A portion of this balance will be allocated to initiatives to be announced later in the campaign.,26
"d) Increase penalties for contravening the Act; and,",46
"Including their exorbitant fees, these corporations charge more than 60 per cent interest, exceeding the Criminal Code limit.",21
"We must demand better national security and law enforcement against criminals and terrorists,",46
Canadians want to take action to avoid the worst effects of climate change,35
Nuclear energy produces huge amounts of greenhouse gases.,35
It will be in place next year.,20
We must make sure they are supported in achieving their hopes and ambitions as new Canadians.,42
and ensure greater safety of products by introducing regulations on “line speed” in meat processing plants,21
We support implementation of the interim forestry package announced in November.,35
"* Create a regulatory framework for the safe production of marijuana by small, independent growers.",21
Implementing federal laws to outlaw replacement workers in strikes or lockouts in areas of federal jurisdiction.,21
A Conservative government will reduce job-killing business taxes to create jobs and grow Canada’s economy – for all of us.,28
"That is why we need a dispute settlement procedure that works and is respected by all parties, in letter and in spirit.",25
"Climate change is real; it is man made, and it is the most serious ecological crisis humanity has ever faced.",35
This means shifting from thinking of waste as a problem to considering waste as a resource.,28
